startTime,endTime,label
36.89195,36.89197,water
36.89201,36.89203,water
36.8921,36.8921,water
36.89246,36.89246,water
36.8925,36.8925,water
36.89256,36.8926,water
36.89276,36.89276,water
36.89282,36.89282,water
36.89328,36.89328,water
36.90499,36.90501,tissue
36.90516,36.90516,tissue
36.90524,36.90529,tissue
36.9058,36.9058,tissue
36.90582,36.90594,tissue
36.90598,36.90598,tissue
36.90606,36.9061,tissue
36.90641,36.90643,tissue
36.90654,36.90654,tissue
36.90678,36.90678,tissue
36.90688,36.90688,tissue
36.90691,36.90697,tissue
36.90708,36.90708,tissue
36.9072,36.9072,tissue
36.90725,36.90727,tissue
36.90729,36.90731,tissue
36.90737,36.90739,tissue
36.90742,36.90742,tissue
36.90748,36.90748,tissue
36.90751,36.90757,tissue
36.90762,36.90762,tissue
36.90806,36.90806,tissue
36.9083,36.9083,tissue
36.90906,36.90906,tissue
36.91276,36.91281,tissue
36.91409,36.91411,tissue
36.91426,36.91426,tissue
36.91465,36.91467,water
36.91492,36.91496,tissue
36.91498,36.91498,water
36.91506,36.91506,water
36.91512,36.91516,water
36.91532,36.91532,water
36.91539,36.91545,water
36.91551,36.91553,tissue
36.91564,36.91564,water
36.9157,36.9157,water
36.91576,36.91576,water
36.91582,36.91582,water
36.91596,36.91596,water
36.91606,36.91606,water
36.91612,36.91612,water
36.9164,36.9164,water
36.9165,36.9165,water
36.91666,36.91666,tissue
36.91667,36.91674,tissue
36.91674,36.91674,water
36.9168,36.9168,water
36.91684,36.91684,water
36.9169,36.91694,tissue
36.91696,36.91696,water
36.917,36.917,water
36.91712,36.91712,water
36.9172,36.9172,water
36.91732,36.91732,water
36.9174,36.9174,water
36.91756,36.9176,water
36.91762,36.91762,water
36.9177,36.9177,water
36.91774,36.91774,water
36.91852,36.91852,tissue
36.91885,36.919,tissue
36.91908,36.91908,tissue
36.91911,36.91921,tissue
36.91958,36.91958,tissue
36.92242,36.92242,tissue
36.92374,36.92374,tissue
36.92408,36.92408,tissue
